id,name,alt_name,region,country,latitude,longitude,type,GEOIDFQ,PLACENAME,AREATYPE,COMMENT
AK13,Anaktuvuk Pass,Anaqtuuvak / Naqsraq,Alaska,US,68.1433,-151.736,community,1600000US0202080,Anaktuvuk Pass city,Incorporated place,
AK130,Fort Yukon,Gwichyaa Zheh,Alaska,US,66.5647,-145.274,community,1600000US0226760,Fort Yukon city,Incorporated place,
AK131,Fox,,Alaska,US,64.958,-147.618,community,1600000US0226870,Fox CDP,Census designated place,
AK132,Gakona,Ggax Kuna’,Alaska,US,62.3019,-145.302,community,1600000US0227420,Gakona CDP,Census designated place,
AK133,Galena,Notaalee Denh,Alaska,US,64.7333,-156.927,community,1600000US0227530,Galena city,Incorporated place,
AK134,Gambell,Sivuqaq,Alaska,US,63.7797,-171.741,community,1600000US0227640,Gambell city,Incorporated place,
AK135,Georgetown,,Alaska,US,61.9085,-157.787,community,,,,
AK136,Girdwood,,Alaska,US,60.9421,-149.167,community,,,,
AK137,Glennallen,,Alaska,US,62.1092,-145.546,community,1600000US0228740,Glennallen CDP,Census designated place,
AK138,Golovin,Cingik / Siŋik,Alaska,US,64.5433,-163.029,community,1600000US0229180,Golovin city,Incorporated place,
AK139,Goodnews Bay,Mamterat,Alaska,US,59.1186,-161.589,community,1600000US0229290,Goodnews Bay city,Incorporated place,
AK14,Anchor Point,,Alaska,US,59.7766,-151.831,community,1600000US0203110,Anchor Point CDP,Census designated place,
AK140,Grayling,Sixno' Xidakagg,Alaska,US,62.9062,-160.077,community,1600000US0230060,Grayling city,Incorporated place,
AK141,Gulkana,C'uul C'ena',Alaska,US,62.2714,-145.382,community,1600000US0230500,Gulkana CDP,Census designated place,
AK142,Gustavus,,Alaska,US,58.4125,-135.738,community,1600000US0230940,Gustavus city,Incorporated place,
AK143,Haines,Deishú,Alaska,US,59.2358,-135.445,community,1600000US0231050,Haines CDP,Census designated place,
AK145,Haycock,,Alaska,US,65.2172,-161.167,community,,,,
AK146,Healy,,Alaska,US,63.8578,-148.966,community,1600000US0232150,Healy CDP,Census designated place,
AK147,Healy Lake,Mendees Cheeg,Alaska,US,63.9441,-144.755,community,1600000US0232310,Healy Lake CDP,Census designated place,
AK148,Highland Park,,Alaska,US,64.7582,-147.371,community,,,,
AK149,Holikachuk,,Alaska,US,62.9112,-159.517,community,,,,
AK15,Anchorage,Dgheyaytnu,Alaska,US,61.1817,-149.993,community,,,,
AK150,Hollis,,Alaska,US,55.4879,-132.663,community,1600000US0232810,Hollis CDP,Census designated place,
AK151,Holy Cross,Ingirraller / Deloy Chet,Alaska,US,62.1994,-159.771,community,1600000US0233030,Holy Cross city,Incorporated place,
AK152,Homer,,Alaska,US,59.6425,-151.548,community,1600000US0233140,Homer city,Incorporated place,
AK153,Hoonah,Xunaa / Gaaw Yat’aḵ Aan,Alaska,US,58.11,-135.444,community,1600000US0233360,Hoonah city,Incorporated place,
AK154,Hooper Bay,Naparyaarmiut,Alaska,US,61.5311,-166.097,community,1600000US0233470,Hooper Bay city,Incorporated place,
AK155,Hope,,Alaska,US,60.9203,-149.64,community,1600000US0233580,Hope CDP,Census designated place,
AK156,Houston,,Alaska,US,61.6302,-149.818,community,1600000US0233800,Houston city,Incorporated place,
AK157,Hughes,Hut’odlee Kkaakk’et,Alaska,US,66.0488,-154.255,community,1600000US0233910,Hughes city,Incorporated place,
AK158,Huslia,Ts’aateyhdenaadekk’onh Denh,Alaska,US,65.6986,-156.4,community,1600000US0234350,Huslia city,Incorporated place,
AK159,Hydaburg,Higdáa G̱ándlaay,Alaska,US,55.208,-132.827,community,1600000US0234460,Hydaburg city,Incorporated place,
AK16,Anderson,,Alaska,US,64.3441,-149.187,community,1600000US0203220,Anderson city,Incorporated place,
AK160,Hyder,,Alaska,US,55.9169,-130.025,community,1600000US0234570,Hyder CDP,Census designated place,
AK161,Iditarod,,Alaska,US,62.5448,-158.094,community,,,,
AK162,Igiugig,Igyaraq,Alaska,US,59.3278,-155.895,community,1600000US0234790,Igiugig CDP,Census designated place,
AK163,Ikatan,,Alaska,US,54.75,-163.308,community,,,,
AK164,Iliamna,Illiamna,Alaska,US,59.7536,-154.817,community,1600000US0235120,Iliamna CDP,Census designated place,
AK165,Inakpuk,,Alaska,US,59.5331,-157.15,community,,,,
AK166,Indian,,Alaska,US,60.9881,-149.513,community,,,,
AK167,Indian River,,Alaska,US,62.6672,-144.433,community,,,,
AK168,Ingrihak,,Alaska,US,61.7561,-162,community,,,,
AK169,Ivanof Bay,,Alaska,US,55.8996,-159.507,community,1600000US0235890,Ivanof Bay CDP,Census designated place,
AK170,Joe Ward Camp,,Alaska,US,66.8673,-143.699,community,,,,
AK171,Jonesville,,Alaska,US,61.7311,-148.933,community,,,,
AK172,Juneau,Dzánti K'ihéeni,Alaska,US,58.3019,-134.42,community,,,,
AK173,Kachemak,,Alaska,US,59.6488,-151.451,community,1600000US0236540,Kachemak city,Incorporated place,
AK174,Kake,Ḵéex̱ʼ,Alaska,US,56.9758,-133.947,community,1600000US0236770,Kake city,Incorporated place,
AK176,Kaktovik,Qaaktuġvik,Alaska,US,70.1131,-143.6623,community,1600000US0236990,Kaktovik city,Incorporated place,
AK177,Kalifornsky,Unhghenesditnu,Alaska,US,60.4412,-151.198,community,1600000US0237250,Kalifornsky CDP,Census designated place,
AK178,Upper Kalskag,Qalqaq,Alaska,US,61.5391,-160.306,community,1600000US0281320,Upper Kalskag city,Incorporated place,
AK179,Kaltag,Ggaał Doh,Alaska,US,64.3272,-158.722,community,1600000US0237430,Kaltag city,Incorporated place,
AK18,Angoon,Aangóon,Alaska,US,57.5033,-134.584,community,1600000US0203440,Angoon city,Incorporated place,
AK180,Kanakanak,,Alaska,US,59.0031,-158.533,community,,,,
AK181,Karluk,Kal’ut,Alaska,US,57.5719,-154.455,community,1600000US0237540,Karluk CDP,Census designated place,
AK182,Kasaan,Gasa'áan,Alaska,US,55.5389,-132.401,community,1600000US0237650,Kasaan city,Incorporated place,
AK183,Kashega,,Alaska,US,53.467,-167.16,community,,,,
AK184,Kashegelok,,Alaska,US,60.8331,-157.833,community,,,,
AK185,Kasigluk,Kassigluq,Alaska,US,60.8955,-162.521,community,1600000US0237975,Kasigluk CDP,Census designated place,
AK186,Kasilof,,Alaska,US,60.3375,-151.274,community,1600000US0238090,Kasilof CDP,Census designated place,
AK187,Kathakne,,Alaska,US,62.9692,-141.832,community,,,,
AK188,Kenai,Shk'ituk't,Alaska,US,60.5544,-151.258,community,1600000US0238420,Kenai city,Incorporated place,
AK189,Kenny Lake,,Alaska,US,61.7379,-144.945,community,1600000US0238910,Kenny Lake CDP,Census designated place,
AK19,Aniak,Anyaraq,Alaska,US,61.5783,-159.522,community,1600000US0203550,Aniak city,Incorporated place,
AK190,Kepangalook,,Alaska,US,60.8501,-161.617,community,,,,
AK191,Ketchikan,Kichx̱áan,Alaska,US,55.3422,-131.646,community,1600000US0238970,Ketchikan city,Incorporated place,
AK192,Kiana,Katyaaq,Alaska,US,66.975,-160.423,community,1600000US0239300,Kiana city,Incorporated place,
AK193,Kinegnak,,Alaska,US,58.8331,-161.667,community,,,,
AK194,King Cove,Agdaaĝux̂,Alaska,US,55.0629,-162.31,community,1600000US0239410,King Cove city,Incorporated place,
AK195,King Island,Ugiuvak,Alaska,US,64.9694,-168.065,community,,,,
AK196,King Salmon,,Alaska,US,58.6883,-156.661,community,1600000US0239630,King Salmon CDP,Census designated place,
AK197,Kipnuk,Qipnek,Alaska,US,59.9389,-164.041,community,1600000US0239740,Kipnuk CDP,Census designated place,
AK198,Kivalina,Kivaliñiq,Alaska,US,67.7269,-164.533,community,1600000US0239960,Kivalina city,Incorporated place,
AK2,Akhiok,Kasukuak,Alaska,US,56.9455,-154.17,community,1600000US0200650,Akhiok city,Incorporated place,
AK200,Klawock,Lawaak,Alaska,US,55.5522,-133.096,community,1600000US0240400,Klawock city,Incorporated place,
AK201,Klery Creek,,Alaska,US,67.1793,-160.4,community,,,,
AK202,Klukwan,Tlákw.aan,Alaska,US,59.3991,-135.894,community,1600000US0240510,Klukwan CDP,Census designated place,
AK203,Knik,,Alaska,US,61.4578,-149.729,community,1600000US0240645,Knik-Fairview CDP,Census designated place,
AK204,Kobuk,Laugviik,Alaska,US,66.9072,-156.881,community,1600000US0240840,Kobuk city,Incorporated place,
AK205,Kodiak,Sun'aq,Alaska,US,57.79,-152.407,community,1600000US0240950,Kodiak city,Incorporated place,
AK206,Kokhanok,Qarr’unaq,Alaska,US,59.4426,-154.761,community,1600000US0241280,Kokhanok CDP,Census designated place,
AK207,Kokrines,Łoyh Denlekk’es Denh,Alaska,US,64.9332,-154.7,community,,,,
AK208,Koliganek,Qalirneq,Alaska,US,59.7286,-157.284,community,1600000US0241500,Koliganek CDP,Census designated place,
AK209,Kongiganak,Kangirnaq,Alaska,US,59.9647,-162.877,community,1600000US0241610,Kongiganak CDP,Census designated place,
AK21,Anvik,Gitr’ingith Chagg,Alaska,US,62.6561,-160.207,community,1600000US0203880,Anvik city,Incorporated place,
AK210,Kotlik,Qerrulliik,Alaska,US,63.0341,-163.553,community,1600000US0241720,Kotlik city,Incorporated place,
AK211,Kotzebue,Qikiqtaġruk,Alaska,US,66.8983,-162.597,community,1600000US0241830,Kotzebue city,Incorporated place,
AK212,Koyuk,Kuuyuk,Alaska,US,64.9319,-161.157,community,1600000US0241940,Koyuk city,Incorporated place,
AK213,Koyukuk,Meneelghaadze’ T’oh,Alaska,US,64.8802,-157.701,community,1600000US0242050,Koyukuk city,Incorporated place,
AK214,Kupreanof,,Alaska,US,56.8153,-133.006,community,1600000US0242160,Kupreanof city,Incorporated place,
AK215,Kustatan,Qezdeghnen,Alaska,US,60.7171,-151.75,community,,,,
AK216,Kvichak,,Alaska,US,58.9671,-156.933,community,,,,
AK217,Kwethluk,Kuiggluk,Alaska,US,60.8122,-161.436,community,1600000US0242380,Kwethluk city,Incorporated place,
AK218,Kwigillingok,Kuigilnguq,Alaska,US,59.8644,-163.134,community,1600000US0242490,Kwigillingok CDP,Census designated place,
AK219,Kwiguk,,Alaska,US,62.7683,-164.5067,community,,,,
AK22,Arctic Village,Vashrąįį K'ǫǫ,Alaska,US,68.1269,-145.538,community,1600000US0203990,Arctic Village CDP,Census designated place,
AK220,Lake Minchumina,Menchuh Mene’,Alaska,US,63.8828,-152.312,community,1600000US0242820,Lake Minchumina CDP,Census designated place,
